15313961	gupta birnbaum uretsky	calculation of creatinine clearance based on unadjusted body weight leads to errors in renal and heart failure patients	Circulation.
16764860	gupta rummler palispis truong chao rowshan mozaffar steward	local downregulation of myelinassociated glycoprotein permits axonal sprouting with chronic nerve compression injury	chronic nerve compression lrb cnc rrb injury induce a robust schwann cell proliferation in a distinct spatial and temporal pattern which be accompany by a increase in the number of small unmyelinated axon in the area of the injury these finding suggest that this local proliferation of schwann cell may induce local axonal sprout here we use quantitative electron microscopic technique to define the nature of this sprout response and explore whether the local sprout be in response to downregulation of expression of myelinassociated glycoprotein lrb mag rrb by proliferate schwann cell axonal sprout be observe without evidence of wallerian degeneration in the outer region of cncinjured nerve with a noticeable increase in remak bundle within this region of injury immunolabeling of tease nerve fiber and western blot analysis of nerve from cncinjured animal reveal a local downregulation of mag protein within the zone of injury moreover local delivery of purify mag protein intraneurally at the time of cnc model creation abrogate the axonal sprout response these datum demonstrate that cnc injury trigger axonal sprout and suggest that a local downregulation of mag within the peripheral nerve secondary to cnc injury be the critical signal for the sprout response	Exp_Neurol.
17903710	gupta lee	contributions of the different rabbit models to our understanding of rotator cuff pathology	animal model design to investigate the biologic aspect of rotator cuff pathology be be use and be develop in the rat rabbit dog and other mammal the current model have provide valuable information regard the etiology pathogenesis and healing potential of the tendon as well as effective surgical repair technique for rotator cuff tear rabbit model have primarily be use to describe the muscular change rotator cuff enthesis formation and growth factor expression after rotator cuff injury this article will serve to review the datum obtain from previously describe rabbit model and a newly develop rabbit model for study rotator cuff pathology	J_Shoulder_Elbow_Surg.
22246880	gupta nassiri hazel bathen mozaffar	chronic nerve compression alters schwann cell myelin architecture in a murine model	myelinate schwann cell compartmentalize they outermost layer to form actinrich channel know as cajal band herein we investigate change in schwann cell architecture and cytoplasmic morphology in a novel mouse model of carpal tunnel syndrome chronic nerve compression lrb cnc rrb injury be create in wildtype and slowwallerian degeneration lrb wld lrb s rrb rrb mouse over 12 week nerve be electrodiagnostically assess and schwann cell morphology be thoroughly evaluate a decline in nerve conduction velocity and increase in gratio be observe without early axonal damage schwann cell display shorten internodal length and severely disrupt cajal band quite surprisingly the latter be reconstitute without improvement to nerve conduction velocity chronic entrapment injury like carpal tunnel syndrome be primarily mediate by the schwann cell response where decrease in internodal length and myelin thickness disrupt the efficiency of impulse propagation restitution of cajal band be not sufficient for remyelination after cnc injury	Muscle_Nerve.
19397863	gupta duff denburg cohen bechara tranel	declarative memory is critical for sustained advantageous complex decisionmaking	previous study have report conflict evidence concern the contribution of declarative memory to advantageous decisionmaking on the iowa gambling task lrb igt rrb one study in which the measurement of psychophysiology during the task necessitate a 10s delay between card selection find that six participant with amnesia due to hippocampal damage fail to develop a preference for advantageous deck over disadvantageous deck lsb gutbrod k krouzel c hofer h muri r perrig w ptak r lrb 2006 rrb decisionmaking in amnesia do advantageous decision require conscious knowledge of previous behavioural choice neuropsychologia 44 lrb 8 rrb 13151324 rsb however a singlecase study lrb where psychophysiology be not measure and no delay between card selection occur rrb show that a amnesic patient develop normal preference for advantageous deck lsb turnbull o h evans c e lrb 2006 rrb preserve complex emotionbased learning in amnesia neuropsychologia 44 lrb 2 rrb 300306 rsb we seek to resolve these discrepant finding by examine igt performance in five patient with profound amnesia lrb wmsiii general memory index m 63 rrb and bilateral hippocampal damage cause by anoxia lrb n 4 rrb or herpes simplex encephalitis lrb n 1 rrb in one administration of the igt psychophysiology measurement be utilize and a 6s delay be interpose between card selection in a second administration no delay between card selection be interpose while age sex and educationmatched healthy comparison participant show significant learning with a gradual preference for advantageous deck in both condition amnesic patient irrespective of igt administration condition and extent of medial temporal lobe damage fail to develop this preference these finding strongly discount the possibility that the delay between card selection explain why amnesic participant fail to learn in the igt and suggest instead a significant role for medial temporal lobe declarative memory system in the type of complex decisionmaking tap by the igt	Neuropsychologia.
20920513	gupta koscik bechara tranel	the amygdala and decisionmaking	decisionmaking be a complex process that require the orchestration of multiple neural system for example decisionmaking be believe to involve area of the brain involve in emotion lrb eg amygdala ventromedial prefrontal cortex rrb and memory lrb eg hippocampus dorsolateral prefrontal cortex rrb in this article we will present finding relate to the amygdala s role in decisionmaking and differentiate the contribution of the amygdala from those of other structurally and functionally connected neural region decade of research have show that the amygdala be involve in associate a stimulus with its emotional value this tradition have be extend in newer work which have show that the amygdala be especially important for decisionmaking by trigger autonomic response to emotional stimulus include monetary reward and punishment patient with amygdala damage lack these autonomic response to reward and punishment and consequently can not utilize somatic marker type cue to guide future decisionmaking study use laboratory decisionmaking test have find deficient decisionmaking in patient with bilateral amygdala damage which resemble they realworld difficulty with decisionmaking additionally we have find evidence for a interaction between sex and laterality of amygdala functioning such that unilateral damage to the right amygdala result in greater deficit in decisionmaking and social behavior in man while leave amygdala damage seem to be more detrimental for woman we have posit that the amygdala be part of a impulsive habit type system that trigger emotional response to immediate outcome	Neuropsychologia.
21381821	gupta duff tranel	bilateral amygdala damage impairs the acquisition and use of common ground in social interaction	the development of common ground or mutual knowledge of share information be believe to require the ability to update a mental representation of another person s thought and knowledge base on verbal information and nonverbal social and emotional signal to facilitate economical communication as in other form of everyday social communication the development of common ground likely require the orchestration of multiple cognitive process support by various neural system here we investigate the contribution of the amygdala to these process sm a patient with complete focal bilateral amygdala damage and deficit in social and emotional processing and five healthy comparison participant each interact with a familiar partner we investigate the participant ability to develop and use referential label across 24 dynamic collaborative interaction participant verbally direct they partner how to arrange a set of 12 abstract tangram while separate by a low barrier allow they to see each other but hide they tangram in contrast to comparison participant sm exhibit a impaired rate of learn across trial and do not show the typical simplification in the label generate during the interaction detailed analysis of sm s interactional discourse and social behavior suggest that she have impaired perspectivetaking or what can be interpret as deficient theory of mind manifest in abnormal languageinuse these result support the conclusion that the amygdala a structure critical for social and emotional processing play a important role in the acquisition and use of common ground and in social communication more broadly	Neuropsychology.
22120006	gupta tranel duff	ventromedial prefrontal cortex damage does not impair the development and use of common ground in social interaction implications for cognitive theory of mind	during conversation interactant draw on they share communicative context and history lrb common ground rrb to help decide what to say next tailor utterance base on they knowledge of what the listener know the use of common ground draw on a understanding of the thought and feeling of other to create and update a model of what be know by the other person employ cognitive process such as theory of mind we test the hypothesis that the ventromedial prefrontal cortex lrb vmpfc rrb a neural region involve in processing and interpret social and emotional information would be critical for the development and use of common ground we study seven patient with bilateral vmpfc damage and seven age sex and educationmatched healthy comparison participant each interact with a familiar partner across 24 trial participant verbally direct they partner how to arrange a set of 12 abstract tangram card we hypothesis be not support the vmpfc and healthy comparison group show similar development and use of common ground evident in reduction in time and word use to describe the card similar increase in the use of definite reference lrb eg the horse rrb and comparable use of verbal play lrb playful language rrb in they interaction these result argue against the idea that the vmpfc be critical for the development and use of common ground in social interaction we propose that a cognitive and neuroanatomical bifurcation in theory of mind process may explain this outcome the vmpfc may be important for affective theory of mind lrb the ability to understand another s feeling rrb however the development and use of common ground in social interaction may place higher demand on the ability to understand another s knowledge or cognitive theory of mind which may not require the vmpfc	Neuropsychologia.
12578553	gupta rathi gupta bradoo	lipase assays for conventional and molecular screening an overview	lipase be versatile biocatalyst that can perform innumerable different reaction they enantio chemo and stereoselective nature make they a important tool in the area of organic synthesis unlike other hydrolase that work in aqueous phase lipase be unique as they act at the oilwater interface besides be lipolytic lipase also possess esterolytic activity and thus have a wide substrate range hence the lipase assay protocol hold a significant position in the field of lipase research lipase activity can be estimate use a wide range of assay protocol that differ in term of they basic principle substrate selectivity sensitivity and applicability as the value of these enzyme continue to grow and new market be exploit development of new or improved enzyme will be a key element in the emerge realm of biotechnology hence development of faster and simpler protocol incorporate newer and more specific substrate be the need of the hour in this endeavour method that could be adopt for molecular screening occupy a important position here a overview of the lipase assay protocol be present with emphasis on the assay that can be adopt for the molecular screening of these biocatalyst	Biotechnol_Appl_Biochem.
14669881	gupta rathi bradoo	lipase mediated upgradation of dietary fats and oils	in the present scenario fat and oil modification be one of the prime area in food processing industry that demand novel economic and green technology in this respect tailor vegetable oils with nutritionally important structured triacylglycerol and altered physicochemical property have a big potential in the future market in this context it be well establish that lipase especially microbial lipase which be regiospecific and fatty acid specific be of immense importance and hence could be exploit for retailor of vegetable oils further of the bulk available cheap oils could also be upgrade to synthesize nutritionally important structured triacylglycerol like cocoa butter substitute low calorie triacylglycerol pufaenriched and oleic acid enriched oils it be also possible to change the physical property of natural oils to convert they into margarine and hard butter with higher melting point or into special low calorie spread with short or medium chain fatty acid today by and large fat and oil modification be carry out chemically follow the method of direct interesterification the process be energy intensive and nonspecific lipase mediate modification be likely to occupy a prominent place in oil industry for tailor structured lipid since enzymatic modification be specific and can be carry out at moderate reaction condition however as a commercial venture lipase be yet to be fully exploit once the technology be establish the demand of lipase in oil industry be expect to increase tremendously in the near future for specific modification of fat and oils to meet the change consumer dietary requirement	Crit_Rev_Food_Sci_Nutr.
15242288	gupta mohapatra	microbial biomass an economical alternative for removal of heavy metals from waste water	today indiscriminate and uncontrolled discharge of metal contaminate industrial effluent into the environment have become a issue of major concern heavy metal be nonbiodegradable and persistent beyond a permissible concentration form unspecific compound inside the cell thereby cause cellular toxicity the only alternative to remove they from the wastewater be by immobilize they the conventional method adopt earlier for this purpose include chemical precipitation oxidation reduction filtration electrochemical treatment evaporation adsorption and ionexchange resin these method require high energy input especially when it refer to dilute solution here microbial biomass offer a economical option for remove heavy metal by the phenomenon of biosorption nonliving or dead biomass sequester metal lrb s rrb on they cell surface due to certain reactive group available like carboxyl amine imidazole phosphate sulphydryl sulfate and hydroxyl the process can be make economical by procure spend biomass from industry or naturally available bulk biomass a batch or a continuous process of removal of heavy metal directly from effluent can be develop in a fix bed reactor use the immobilize biomass further biosorption potential of the biomass can be improve by various physical and chemical treatment the availability of variety of microbial biomass and they metal bind potential make it a economical and sustainable option for develop effluent treatment process for removal and recovery of heavy metal	Indian_J_Exp_Biol.
17577820	gupta mirdha guleria mohan agarwal kumar kabra samantaray	improved detection of pneumocystis jirovecii infection in a tertiary care reference hospital in india	we prospectively examine 143 clinical sample from 115 patient include both hiv infected lrb n 53 rrb and hiv uninfected immunocompromized lrb n 62 rrb patient with lung infiltrate and with clinical feature suggestive of pneumocystis carinii pneumonia pneumocystis pneumonia lrb pcp rrb use both microscopic technique as well as pcr assay clinical sample in the present study consist of bronchoalveolar lavage lrb bal rrb tracheal aspirate lrb ta rrb nasopharyngeal aspirate lrb npa rrb sputum and gastric aspirate lrb ga rrb another group of 21 individual with other respiratory disease not compatible with pcp serve as control during the study period of 15 month overall p jirovecii positivity rate by pcr be 1217 lrb 14115 patient rrb compare to 34 lrb 4115 rrb by microscopy none of the specimen in the control group be positive by any of the technique use all pcr negative patient include case and control show no evidence of pcp after resolution of the discrepant result upon review of the clinical datum the sensitivity and specificity be 100 and 99 respectively for pcr and 307 and 100 respectively for microscopy by gms staining thus we datum support the significance of pcr assay for confirm and improve the diagnosis of pcp in highrisk patient	Scand_J_Infect_Dis.
19035050	gupta mirdha guleria mohan kabra kumar agarwal luthra	use of different primer directed sequence amplification by polymerase chain reaction for identification of pneumocystis jirovecii in clinical samples	pneumocystis carinius pneumonia lrb pcp rrb cause by opportunistic agent pneumocystis jirovecii lrb formerly pneumocystis carinii be one of the most serious respiratory infection in immunocompromised patient the present study be conduct to compare polymerase chain reaction lrb pcr rrb assay targett three different gene of pneumocystis to study they application in its diagnosis one hundred and eighty lrb n 180 rrb clinical sample from 145 immunocompromised patient with clinical suspicion of pcp and 35 sample from control group of 30 immunocompetent individual with respiratory infection other than pcp be prospectively examine for the presence of pneumocystis jirovecii lrb p jirovecii rrb all the sample be subject to microscopic examination one single lsb major surface glycoprotein lrb msg rrb rsb and two nested lsb mitochondrial large subunit ribosomal ribonucelic acid lrb mtlsu rrna rrb and internal transcribe spacer lrb its rrb region rsb polymerase chain reaction assay microscopic examination be positive in only six lrb n 6 rrb patient whereas single round msg pcr detect p jirovecii deoxyribonucleic acid lrb dna rrb in 16 case when the clinical sample be test by mtlsu rrna and its nested pcr assay it be possible to detect seven additional case of pcp make it to a total of 23 case none of the clinical specimen in control group lrb n 30 rrb be positive by any of the abovementioned technique amongst the 81 bronchoalveolar lavage lrb bal rrb sample test 16 be positive by msg pcr while 20 be positive by both nested ie mtlsu rrna and its pcr assay similarly out of 50 sputum sample only three be positive by msg seven by mtlsu rrna and six by its nested pcr assay it have be observe that msg be relatively more sensitive when single round pcr assay be use for detection of human pneumocystosis compare to the first lrb single rrb round of either its or mtlsu rrna nested pcr however the two nested pcr use its and mtlsu rrna have be find to be more sensitive on comparison of two nested pcr assay the result have be more or less comparable	Indian_J_Chest_Dis_Allied_Sci.
19631091	gupta mirdha guleria kumar samantaray agarwal kabra luthra	diagnostic significance of nested polymerase chain reaction for sensitive detection of pneumocystis jirovecii in respiratory clinical specimens	a total of 327 clinical specimen include both invasive and noninvasive sample obtain from 275 patient with various type of underlie immunocompromised condition and a clinical suspicion of pneumocystis pneumonia lrb pcp rrb be subject to 2 different nested polymerase chain reaction lrb pcr rrb assay the target gene use for nested pcr be mitochondrial large subunit ribosomal rna lrb mtlsu rrna rrb and internal transcribe spacer lrb its rrb region the result be compare with a singleround pcr target major surface glycoprotein lrb msg rrb gene amplification be successful in 16 of case by mtlsu rrna nested pcr in 145 by its nested pcr and in 109 by msg pcr the nested mtlsu rrna pcr be find to be more sensitive lrb 100 sensitive and 987 specific rrb and useful in detect pcp for its use in routine diagnosis in we setting thus this assay may be quite useful in the identification of patient who be in the early stage of pneumocystis jirovecii infection with a organism load that could not be easily detect by the singlestep pcr	Diagn_Microbiol_Infect_Dis.
20493969	gupta mirdha guleria agarwal samantaray kumar kabra luthra sreenivas	genotyping and phylogenetic analysis of pneumocystis jirovecii isolates from india	pneumocystis jirovecii be the cause of pneumocystis pneumonia lrb pcp rrb in immunocompromised individual the aim of this study be to describe the genotypeshaplotypes of p jirovecii in immunocompromised individual with positive polymerase chain reaction lrb pcr rrb result for pcp the typing be base on sequence polymorphism at internal transcribe spacer lrb its rrb region of rrna operon phylogenetic relationship between indian and global haplotype be also study between january 2005 to october 2008 43 patient be find to be positive for pneumocystis use pcr target mitochondrial large subunit rrna lrb mt lsu rrna rrb and its region genotyping of all the positive sample be perform at the its locus by direct sequencing nine its1 allele lrb all previously know rrb and 11 its2 allele lrb nine previously define and two new rrb be observe a total of 19 its haplotype include five novel haplotype lrb del1r edel2 hr adel3 and syd1a rrb be observe the most prevalent type be syd1g lrb 163 rrb follow by type ea lrb 116 rrb ec lrb 93 rrb eg lrb 69 rrb del1r lrb 69 rrb ne lrb 69 rrb and ai lrb 69 rrb to detect mixed infection 30 of the positive isolate be clone and 45 clone be sequence from each specimen cloning and sequencing identify two more haplotype in addition to the 19 type mixed infection be identify in 3 of the 13 clone sample lrb 231 rrb upon construction of a haplotype network of 21 haplotype type eg be identify as the most probable ancestral type the present study be the first study that describe the haplotype of p jirovecii base on the its gene from india the study suggest a high diversity of p jirovecii haplotype in the population	Infect_Genet_Evol.
20518414	gupta iyer mirdha guleria kumar agarwal	role of cytology and polymerase chain reaction based detection of pneumocystis jirovecii infection in bronchoalveolar lavage fluid	to study the role of cytology and polymerase chain reaction lrb pcr rrb for the detection of pneumocystis carinii pneumonia lrb pcp rrb in bronchoalveolar lavage fluid lrb balf rrb in a prospective observational study a balf pellet from 55 patient lrb 35 immunosuppressed patient clinically suspicious for pcp and 20 immunocompetent individual not suspicious for pcp rrb be subject to cytology examination as well as pcr for pcp use the major surface glycoprotein gene additionally dna be extract from destained cytology slide scrapings from 5 case each positive for pcr and negative for pcp on balf respectively and be further subject to pcr of 35 immunosuppressed patient 2 be positive on microscopy for pcp while 5 lrb include 2 microscopy positive rrb be positive by pcr from balf four of the 5 positive case show predominantly alveolar macrophage while one show 40 alveolar macrophage 30 lymphocyte and 20 neutrophil upon cellular analysis of balf one case have coinfection with cryptococcus destained smear scrapings of pcrpositive slide lrb n 5 rrb be all successfully amplify for pcp major surface glycoprotein pcr after dna extraction while control slide lrb n 5 rrb do not show amplification balf be consider the sample of choice for the diagnosis of pcp in we study case with pcp show mainly alveolar macrophage on balf examination by cytology and no or mild inflammatory cell thus inflammatory cell population find on cytology may provide direction for pcr twostep screening of balf use cytology follow by pcr from slide be possible and may overcome the limitation of balf cytology alone for the diagnosis of pcp	Acta_Cytol.
20705505	gupta mirdha guleria agarwal samantaray kumar kabra luthra sreenivas iyer	genotypic variation of pneumocystis jirovecii isolates in india based on sequence diversity at mitochondrial large subunit rrna	pneumocystis pneumonia lrb pcp rrb a common and serious opportunistic infection in immunocompromised patient be cause by pneumocystis jirovecii lrb formerly know as pneumocystis carinius f sp homini rrb the aim of the present study be to describe the prevalence and distribution of genotype of p jirovecii base on sequence polymorphism at mitochondrial large subunit ribosomal rna lrb mt lsu rrna rrb region in both hiv and nonhiv immunocompromised individual with a positive pcr result for pcp in a tertiary health care centre in northern india from january 2005 to october 2008 50 patient lsb 22 hivseropositive individual 10 postrenal transplant lrb prt rrb recipient 3 cancer patient and 15 patient with various other kind of immunosuppression rsb be find to be positive for p jirovecii use pcr at the mt lsu rrna gene genotyping of the positive sample be perform at the mt lsu rrna locus genotype 2 be the most common accounting for 42 of total type this be follow by the genotype 3 lrb 24 rrb 1 lrb 20 rrb and 4 lrb 8 rrb mixed infection be observe in 3 case lrb 6 rrb the rate of genotype distribution be similar in hivseropositive individual cancer patient and in patient with other kind of immunosuppression in the prt recipient genotype 1 be the most prevalent type lrb 80 rrb this be the first study describe the prevalence of genotype in hivinfected and hivuninfected immunocompromised patient base on the mt lsu rrna gene from the indian subcontinent the most prevalent genotype observe be type 2 in contrast to many study from other part of the world where genotype 1 be the most prevalent type suggest geographical variation	Int_J_Med_Microbiol.
22917655	gupta mirdha guleria kumar luthra agarwal sreenivas	genetic characterization of ucs region of pneumocystis jirovecii and construction of allelic profiles of indian isolates based on sequence typing at three regions	pneumocystis jirovecii be a opportunistic pathogen that cause severe pneumonia in immunocompromised patient to study the genetic diversity of p jirovecii in india the upstream conserve sequence lrb ucs rrb region of pneumocystis genome be amplify sequence and genotype from a set of respiratory specimen obtain from 50 patient with a positive result for nested mitochondrial large subunit ribosomal rna lrb mtlsu rrna rrb pcr during the year 20052008 of these 50 case 45 show a positive pcr for ucs region variation in the tandem repeat in ucs region be characterize by sequencing all the positive case of the 45 case one case show five repeat 11 case show four repeat 29 case show three repeat and four case show two repeat by run amplify dna from all these case on a highresolution gel mixed infection be observe in 12 case lrb 267 1245 rrb forty three of 45 case include in this study have previously be type at mtlsu rrna and internal transcribe spacer lrb its rrb region by we group in the present study the genotype at those two region be combine with ucs repeat pattern to construct allelic profile of 43 case a total of 36 allelic profile be observe in 43 isolate indicate high genetic variability a statistically significant association be observe between mtlsu rrna genotype 1 its type ea and ucs repeat pattern 4	Infect_Genet_Evol.
17713591	gupta sarthi mittal singh	a novel signal processing measure to identify exact and inexact tandem repeat patterns in dna sequences	the identification and analysis of repetitive pattern be active area of biological and computational research tandem repeat in telomere play a role in cancer and hypervariable trinucleotide tandem repeat be link to over a dozen major neurodegenerative genetic disorder in this paper we present a algorithm to identify the exact and inexact repeat pattern in dna sequence base on orthogonal exactly periodic subspace decomposition technique use the new measure we algorithm resolve the problem like whether the repeat pattern be of period p or its multiple lrb ie 2p 3p etc rrb and several other problem that be present in previous signalprocessingbased algorithm we present a efficient algorithm of o lrb nl lrb w rrb log l lrb w rrb rrb where n be the length of dna sequence and l lrb w rrb be the window length for identify repeat the algorithm operate in two stage in the first stage each nucleotide be analyze separately for periodicity and in the second stage the periodic information of each nucleotide be combine together to identify the tandem repeat dataset have exact and inexact repeat be take up for the experimental purpose the experimental result show the effectiveness of the approach	EURASIP_J_Bioinform_Syst_Biol.
18464911	gupta mittal singh	a timeseriesbased feature extraction approach for prediction of protein structural class	this paper present a novel feature vector base on physicochemical property of amino acid for prediction protein structural class the propose method be divide into three different stage first a discrete time series representation to protein sequence use physicochemical scale be provide later on a waveletbased timeseries technique be propose for extract feature from map amino acid sequence and a fix length feature vector for classification be construct the propose feature space summarize the variance information of ten different biological property of amino acid finally a optimize support vector machine model be construct for prediction of each protein structural class the propose approach be evaluate use leaveoneout crossvalidation test on two standard dataset comparison of we result with exist approach show that overall accuracy achieve by we approach be better than exit method	EURASIP_J_Bioinform_Syst_Biol.
18632334	gupta mittal singh	a novel and efficient technique for identification and classification of gpcrs	gprotein couple receptor lrb gpcr rrb play a vital role in different biological process such as regulation of growth death and metabolism of cell gpcr be the focus of significant amount of current pharmaceutical research since they interact with more than 50 of prescription drug the dipeptidebased support vector machine lrb svm rrb approach be the most accurate technique to identify and classify the gpcr however this approach have two major disadvantage first the dimension of dipeptidebased feature vector be equal to 400 the large dimension make the classification task computationally and memory wise inefficient second it do not consider the biological property of protein sequence for identification and classification of gpcr in this paper we present a novelfeaturebased svm classification technique the novel feature be derive by apply waveletbased time series analysis approach on protein sequence the propose feature space summarize the variance information of seven important biological property of amino acid in a protein sequence in addition the dimension of the feature vector for propose technique be equal to 35 experiment be perform on gpcr protein sequence available at gpcrs database we approach achieve a accuracy of 999 9806 9778 and 9408 for gpcr superfamily family subfamily and subsubfamily lrb amine group rrb respectively when evaluate use fivefold crossvalidation further a accuracy of 998 9726 and 9784 be obtain when evaluate on unseen or recall dataset of gpcr superfamily family and subfamily respectively comparison with dipeptidebased svm technique show the effectiveness of we approach	IEEE_Trans_Inf_Technol_Biomed.
15187307	gupta mehta pandhi singal	hereditary punctate palmoplantar keratoderma ppk brauerbuschkefischer syndrome	we describe the first case of a sixtyfiveyearold male field worker from india have lesion of hereditary punctate palmoplantar keratoderma with a autosomally dominant pattern of inheritance association include nail abnormality in the form of longitudinal ridging onychorrhexis onychoschizia trachyonychia and notching which have be report only on one previous occasion the article also present a brief review of the literature	J_Dermatol.
15695864	gupta singal pandhi	faun tail naevus a cutaneous marker of spinal dysraphism	we describe three case lrb one male and two female rrb of faun tail nevus which be one of the most important cutaneous marker of spinal dysraphism one of the patient present with acroosteolysis lead to auto amputation of the toe of the left foot which require operative intervention this lay stress on the early recognition of lumbar paraspinal skin lesion and early treatment to avoid irreversible sequela	Indian_Pediatr.
16248212	gupta singal pandhi	genital involvement and type i reaction in childhood leprosy	we describe the case of a 4yearold boy with a positive family history of multibacillary leprosy lrb borderlineborderline rrb in he 12yearold sister the patient be diagnose to have borderline lepromatous lrb bl rrb leprosy bi of 4 and have two erythematous infiltrate plaque over the scrotum he develop type reaction 3 month follow initiation of multibacillary multidrug therapy lrb mbmdt rrb and respond favourably to systemic corticosteroid	Lepr_Rev.
16327141	gupta tewari	nonsurgical management of two unusual cases of dens in dente	the management of two unusual case of den invaginatus in a maxillary and a mandibular lateral incisor with a periradicular lesion be report the patient present with pain and localized swell despite the complex anatomy and diagnosis of den invaginatus nonsurgical root canal treatment be perform successfully furthermore essential clinical consideration and treatment option be suggest early diagnosis and management be important to avoid complication	J_Indian_Soc_Pedod_Prev_Dent.
16827021	gupta tewari	effect of rotary instrumentation on composite bond strength with simulated pulpal pressure	this study evaluate the effect of cut tooth with different type of bur at various speed on shear bond strength use prime and bond nt lrb dentsplydetrey rrb a simulated pulpal pressure of 25mmhg equivalent to 34 cmh2o be create in a false pulpal chamber fill with distilled water and maintain for seven day the human tooth be divide into six group of 10 tooth each fine grit straight fissure diamond bur in air rotor lrb da rrb fine grit straight fissure diamond bur in micromotor lrb dm rrb crosscut fissure carbide bur in air rotor lrb cca rrb crosscut fissure carbide bur in micromotor lrb ccm rrb plain fissure carbide bur in micromotor lrb cm rrb and 600grit silicon carbide paper lrb sic rrb the tooth surface in these group be cut under copious airwater spray and treat with prime and bond nt after etch with 38 phosphoric acid composite restoration be then prepare with tph spectrum lrb dentsply detrey rrb after soak in water at 37 degree c for 24 hour the specimen be load at a 45 degree angle to they longitudinal axis by use a z 010 universal testing machine lrb zwick rrb and shear bond strength be determine at a crosshead speed of 2 mmminute all of the specimen be then observe under stereomicroscope at 10x statistical analysis be make use oneway and twoway anova and ttest lrb p 005 rrb the bond strength achieve with a fine grit straight fissure diamond bur a crosscut fissure carbide bur in air rotor and a crosscut fissure carbide bur in micromotor be significantly higher than a fine grit straight fissure diamond bur a plain fissure carbide bur and 600grit silicon carbide abrasive paper in the micromotor therefore select a appropriate bur and its speed may improve bonding for adhesive system although crosscut fissure carbide bur produce high bond strength at either speed use	Oper_Dent.
18602285	gupta prakash	bilateral extensive idiopathic apical root resorption in supraerupted maxillary molars a case report	multiple idiopathic external root resorption of permanent tooth be a infrequent phenomenon a case report of a patient with multiple idiopathic external apical root resorption be present this case be unusual in that extensive resorption be find bilaterally in supraerupted maxillary molar tooth the pattern of severe resorption affect only maxillary supraerupted tooth appear to be unique no significant systemic dental or familial finding could be identify as a possible cause	Oral_Surg_Oral_Med_Oral_Pathol_Oral_Radiol_Endod.
21842018	gupta prakash	cppacp complex as a new adjunctive agent for remineralisation a review	in addition to regular professional oral hygiene visit and the application of appropriate preventive medication successful preventive strategy involve oral health promotion patient education and patient compliance the casein phosphopeptideamorphous calcium phosphate lrb cppacp rrb complex have be show to remineralise tooth surface in situ when deliver in oral care product this complex have a unique ability to deliver bioavailable calcium and phosphate when they be need most the effectiveness of casein derivative specifically ccpacp in caries prevention and lesion reversal have be support by many controlled clinical study this review summarise the research on casein phosphopeptideamorphous calcium phosphate complex and provide information related to its benefit in dentistry further research be require to provide a scientifically support recommendation for other clinical application	Oral_Health_Prev_Dent.
23965462	gupta prakash sharma	endodontic and postendodontic management of a fused molar	treatment of fuse tooth need special care and attention to the bizarre anatomy this paper describe root canal treatment of a fuse carious tooth present with apical periodontitis it be a rare case of fusion of the mandibular second molar with a paramolar there be no literature regard placement of crown over endodontically treat fuse tooth in this case the fuse tooth be endodontically treat and restore by a porcelain fuse to metal crown	Indian_J_Dent_Res.
17015196	gupta manchanda arya	homoeopathy for the treatment of lichen simplex chronicus a case series	twentyseven patient with chronic lichen simplex involve various part of the body be treat hydrocotyle be prescribe to 21 patient in different potency lrb 6c 30c 200c 1 m 10 m rrb thuja to three patient lrb 1 m 10 m rrb graphites lrb 6c rrb kali bich lrb 30c rrb and sulphur lrb 200c rrb to one patient each during 1 year study period only two patient show complete improvement with thuja and one with graphite in other case the response be limit to partial relief of lsb correct rsb itch	Homeopathy.
17671886	gupta gupta	dexamethasone cyclophosphamide pulse therapy in lichen amyloidosus a case report	to clear the itching and lesion of lichen amyloidosus completely which be a chronic troublesome disease of the skin with variable result from various therapeutic modality dexamethasone cyclophosphamide pulse lrb dcp rrb therapy be give to a 53yearold man with lichen amyloidosus of 3 month duration dcp therapy comprise a intravenous infusion of 100 mg dexamethasone in 500 ml of 5 glucose over 11 lrb 12 rrb hour on 3 consecutive day on day 1 cyclophosphamide 500 mg be also give through the same drip dcp therapy be repeat at 4week interval in between the patient receive 50 mg of cyclophosphamide orally daily the itching stop completely after five dcp session and all the lesion clear after nine dcp session with no relapse during 30 month of followup after stop the treatment dcp therapy be a effective alternative for lichen amyloidosus	J_Dermatolog_Treat.
17852636	gupta gupta	methotrexatebetamethasone weekly oral pulse in psoriasis	methotrexate in psoriasis help to clear the lesion fast but remission be short to produce longterm remission methotrexate have be combine with betamethasone a total of 40 patient with psoriasis lrb plaque type 36 erythrodermic four rrb be include in a open randomize study twentyeight patient receive weekly 15 mg methotrexate and 3 mg betamethasone orally and 12 patient receive weekly 15 mg methotrexate orally alone until the psoriasis area severity index lrb pasi rrb score be reduce to 95100 of the baseline score followup be carry out until relapse of the lesion methotrexate combine with betamethasone orally weekly clear the lesion in 2713 239 lrb 247429 52 rrb day with a remission period of 9178 1419 lrb 7759105 97 rrb day whereas methotrexate alone take 3309 561 lrb 274838 70 rrb day to clear the lesion with a remission period of 2030 250 lrb 178022 80 rrb day methotrexate combine with betamethasone clear the lesion faster and with a longer remission period compare with methotrexate alone	J_Dermatolog_Treat.
