11724676	lee yew wong fu	nonhodgkins pleural lymphoma in longstanding tuberculous pyothorax mimicking suppuration	Int_J_Infect_Dis.
16948155	lee	measures for the assessment of fuzzy predictions of protein secondary structure	many of the recent secondary structure prediction method incorporate the idea of fuzzy set theory where instead of assign a definite secondary structure to a query residue probability for the residue be in each of the conformational state be estimate moreover continuous assignment of conformational state to the experimentally observe protein structure can be perform in order to reflect inherent flexibility although various measure have be develop for evaluate performance of secondary structure prediction method they depend only on the most probable secondary structure they do not assess the accuracy of the probability produce by fuzzy prediction method and they can not incorporate information contain in continuous assignment of conformational state to observe structure three important measure for evaluate performance of a secondary structure prediction algorithm q score segment overlap lrb sov rrb measure and the kstate correlation coefficient lrb corr rrb be deform into fuzzy measure f score fuzzy overlap lrb fov rrb measure and the fuzzy correlation coefficient lrb forr rrb so that the new measure not only assess probabilistic output of fuzzy prediction method but also incorporate information from continuous assignment of secondary structure as a example of application prediction result of four fuzzy secondary structure prediction method psipred profking sable and predict be assess use the new fuzzy measure	Proteins.
20872556	lee lee park coutsias seok	protein loop modeling by using fragment assembly and analytical loop closure	protein loop be often involve in important biological function such as molecular recognition signal transduction or enzymatic action the three dimensional structure of loop can provide essential information for understand molecular mechanism behind protein function in this article we develop a novel method for protein loop modeling where the loop conformation be generate by fragment assembly and analytical loop closure the fragment assembly method reduce the conformational space drastically and the analytical loop closure method find the geometrically consistent loop conformation efficiently we also derive a analytic formula for the gradient of any analytical function of dihedral angle in the space of closed loop the gradient can be use to optimize various restraint derive from experiment or database for example restraint for preferential interaction between specific residue or for preferred backbone angle we demonstrate that the current loop modeling method outperform previous method that employ residuebased torsion angle map or different loop closure strategy when test on two set of loop target of length range from 4 to 12	Proteins.
22920099	lee pressé	a derivation of the master equation from path entropy maximization	the master equation and more generally markov process be routinely use as model for stochastic process they be often justified on the basis of randomization and coarsegraining assumption here instead we derive nthorder markov process and the master equation as unique solution to a inverse problem we find that when constraint be not enough to uniquely determine the stochastic model a nthorder markov process emerge as the unique maximum entropy solution to this otherwise underdetermined problem this give a rigorous alternative for justify such model while provide a systematic recipe for generalize widely accept stochastic model usually assume to follow from the first principle	J_Chem_Phys.
23214548	lee pressé	microcanonical origin of the maximum entropy principle for open systems	there be two distinct approach for derive the canonical ensemble the canonical ensemble either follow as a special limit of the microcanonical ensemble or alternatively follow from the maximum entropy principle we show the equivalence of these two approach by apply the maximum entropy formulation to a closed universe consist of a open system plus bath we show that the target function for derive the canonical distribution emerge as a natural consequence of partial maximization of the entropy over the bath degree of freedom alone by extend this mathematical formalism to dynamical path rather than equilibrium ensemble the result provide a alternative justification for the principle of path entropy maximization as well	Phys_Rev_E_Stat_Nonlin_Soft_Matter_Phys.
24032867	lee	exact partition function zeros of the wakosaitmuozeaton hairpin model	i compute exact partition function zero of hairpin use both analytic and numerical method extend previous work lsb j lee phys rev lett 110 248101 lrb 2013 rrb rsb where only a restricted class of hairpin be consider the zero of hairpin with a odd number of peptide bond be compute and the difference of the distribution of zero from those for a even number of peptide bond be explain in term of additional entropy of liberating the extra bond at the turn region upon the introduction of a hydrophobic core in the central region of the hairpin the zero be distribute uniformly on two concentric circle correspond to the hydrophobic collapse and the transition to the fully fold conformation one of the circle dissolve as the core move toward the turn or the tip region which be explain in term of the similarity of the intermediate state with the fold or unfold state the exact partition function zero for a hairpin with a more complex structure of native contact the 16 cterminal residue of streptococcal protein g b1 be numerically compute and they locus be closely approximate by concentric circle	Phys_Rev_E_Stat_Nonlin_Soft_Matter_Phys.
17045879	lee shung	effect of ultrasonic attenuation on the feasibility of acoustic tweezers	a modify mathematical formulation for the calculation of axial radiation force be develop to incorporate the effect of ultrasonic attenuation axial force fresnel coefficient average internal attenuation factor and effective internal reflection coefficient be calculate thermal and mechanical index be also compute to address the safety issue in the implementation of acoustic tweezers and be find to be negligible the result show that the overall distribution of axial force be barely affect by attenuation furthermore it be find that attenuation actually work against the scatter force and may therefore reinforce the axial trapping force for a particle size of 180 microm the maximum trapping force increase from 298 x 10 lrb 11 rrb n to 303 x 10 lrb 11 rrb n by 17 when attenuation be include in light of these result it appear that acoustic tweezers may still be feasible beyond the focal point even under the influence of attenuation	Ultrasound_Med_Biol.
20045590	lee teh lee kim lee shung	transverse acoustic trapping using a gaussian focused ultrasound	the optical tweezer have become a popular device to manipulate particle in nanometer scale and to study the underlie principle of many cellular or molecular interaction theoretical analysis be previously carry out at the author laboratory to show that similar acoustic trapping of microparticle may be possible with a single beam ultrasound this article experimentally present the transverse trapping of 125 microm lipid droplet under a acoustically transparent mylar film which be a intermediate step toward achieve acoustic tweezers in threedimension despite the lack of axial trapping capability in the current experimental arrangement it be find that a 30 mhz focus beam could be use to laterally direct the droplet toward the focus the spatial range within which acoustic trap may guide droplet motion be in the range of hundred of micrometer much greater than that of optical trap this suggest that this acoustic device may offer a alternative for manipulate microparticle in a wider spatial range	Ultrasound_Med_Biol.
20889418	lee lee shung	calibration of sound forces in acoustic traps	a twodimensional or transverse acoustic trapping and its capability to noninvasively manipulate micrometersized particle with focused sound beam be experimentally demonstrate in we previous work to apply this technique as in optical tweezers for study mechanical property of and interaction among biological particle such as cell the trapping force must be calibrate against known force ie viscous drag force exert by fluid flow the trapping force and the trap stiffness be measure under various condition and the result be report in this paper in the current experimental arrangement because the trap particle be position against a acoustically transparent mylar membrane the ultrasound beam intensity distribution near the membrane must be carefully consider the total intensity field lrb the sum of incident and scattering intensity field rrb around the droplet be thus compute by finite element analysis lrb fea rrb with the membrane include and it be then use in the ray acoustic model to calculate the trapping force the membrane effect on trapping force be discuss by compare effective beam width with and without the membrane the fea result find that the broader beam width cause by the scatter beam from the neighboring membrane and the droplet result in the lower intensity or smaller force on the droplet the experimental result show that the measure force be as high as 64 nn the trap stiffness approximate as a linear spring be estimate by linear regression and find to be 13 to 44 nn m which be on a larger scale than that of optical trapping estimate for red blood cell a few tenth of piconewtonsnanometer the experimental and theoretical result be in good agreement	IEEE_Trans_Ultrason_Ferroelectr_Freq_Control.
21328319	lee lee kim jakob lemor teh lee shung	targeted cell immobilization by ultrasound microbeam	various technique exert mechanical stress on cell have be develop to investigate cellular response to externally controlled stimulus fundamental mechanotransduction process about how applied physical force be convert into biochemical signal have often be examine by transmit such force through cell and probe its pathway at cellular level in fact many cellular biomechanics study have be perform by trapping lrb or immobilize rrb individual cell either attach to solid substrate or suspend in liquid media in that context we demonstrate twodimensional acoustic trapping where a lipid droplet of 125 m in diameter be direct transversely toward the focus lrb or the trap center rrb similar to that of optical tweezers under the influence of restore force create by a 30 mhz focus ultrasound beam the trap droplet behave as if tethered to the focus by a linear spring in order to apply this method to cellular manipulation in the mie regime lrb cell diameter wavelength rrb the availability of sound beam with its beamwidth approach cell size be crucial this can only be achieve at a frequency higher than 100 mhz we define ultrasound beam in the frequency range from 100 mhz to a few ghz as ultrasound microbeam because the lateral beamwidth at the focus would be in the micron range hence a zinc oxide lrb zno rrb transducer that be design and fabricate to transmit a 200 mhz focus sound beam be employ to immobilize a 10 m human leukemia cell lrb k562 rrb within the trap the cell be laterally displace with respect to the trap center by mechanically translate the transducer over the focal plane both lateral displacement and position trajectory of the trap cell be probe in a twodimensional space indicate that the retract motion of these cell be similar to that of the lipid droplet at 30 mhz the potential of this tool for study cellular adhesion between white blood cell and endothelial cell be discuss suggest its capability as a single cell manipulator	Biotechnol_Bioeng.
17215601	lee jung	measurement issues across different cultures	the purpose of this methodologic paper be to lrb 1 rrb describe theoretical background in conduct research across different culture lrb 2 rrb address measurement issue relate to instrument administration and lrb 3 rrb provide strategy to deal with measurement issue a thorough review of the literature be conduct a theoretical background be provide and example of administer instrument in study be describe when apply a instrument to different culture both equivalence and bias need to be establish three level of equivalence ie construct equivalence measurement unit equivalence and full score comparability need to be explain to maintain the same concept be measure in this paper source of bias in construct method and item be discuss issue relate to instrument administration in a crosscultural study be describe researcher need to acknowledge various group difference in concept andor language that include a specific set of symbol and norm there be a need to question the philosophical and conceptual appropriateness of a assessment measure that have be conceptualize and operationalize in a different culture additionally test different response format such as narrow response range can be consider to reduce bias	Taehan_Kanho_Hakhoe_Chi.
17420524	lee soeken picot	a metaanalysis of interventions for informal stroke caregivers	the purpose of this study be to examine the effectiveness of the intervention for improve mental health of caregiver of people with stroke by synthesize individual study a metaanalysis be perform to summarize finding of intervention study of caregiver of elderly stroke patient additionally a sensitivity analysis and a publication bias be test the overall mean weighted effect size lrb mwes rrb for the four study be 0277 lrb z 3432 p 001 rrb with a 95 ci 118 to 435 lrb n 718 rrb indicate that the intervention be effective in improve the mental health of informal stroke caregiver the mwes for the education program be 0354 lrb z 2613 p 01 rrb and for the support program be 234 lrb z 2335 p 02 rrb the mwes for the europe study be 219 lrb z 2613 p 01 rrb and for the united states be 922 lrb z 3287 p 001 rrb the result show that overall intervention improve mental health of informal stroke caregiver the small number of study include in the metaanalysis limit the generalizability of result while support the need for more research in this area	West_J_Nurs_Res.
17635300	lee friedmann picot thomas kim	korean version of the revised caregiving appraisal scale a translation and validation study	this paper be a report of a study to examine the reliability and validity of a korean version of the revise caregiving appraisal scale with korean caregiver of older stroke survivor the revise caregiving appraisal scale be develop in the united states of america for a american englishspeaking population to measure primary caregiver appraisal of potential stressor and the efficacy of they coping effort relate to caregive experience use the backtranslation method the instrument be translate into korean the korean version of the revise caregiving appraisal scale be selfadministered by 147 primary family caregiver recruit from three outpatient clinic and two home health agency in korea the study be conduct in 2005 in this sample cronbach s alpha for the total scale be 086 reliability coefficient for each of the five subscale range from 040 to 085 two subscale burden and satisfaction show good reliability one subscale impact show marginally acceptable reliability two subscale mastery and demand have low reliability principal component factor analysis of the korean version of the revise caregiving appraisal scale yield six factor except for the mastery domain which be divide into two factor the other factor be similar to those in the original scale the korean version of the revise caregiving appraisal scale have adequate reliability and validity in a sample of korean caregiver of stroke survivor it can be use to assess the impact of caregiving and intervention on korean caregiver attitude further study be need with different category of caregiver	J_Adv_Nurs.
23730866	lee choi kim kim kim	korean nurses perceived facilitators and barriers in provision of endoflife care	this study examine nurse perceive facilitator and barrier to endoflife lrb eol rrb care in clinical setting the study participant be 383 korean nurse work at tertiary hospital the nurse have a average of 76 year of clinical experience the three highestscoring facilitate item be family member acceptance of patient death have time to prepare the family for the patient s expect death and have the physician meet with the family after the patient s death to offer support and validate the give care the top two perceive barrier be family not accept what the physician be tell they about the patient s prognosis and deal with angry family member nurse who have receive eol care education show a higher score in perception of facilitator than nurse who do not receive that education eol care for patient and they family be a challenge thus continue education should be provide to improve nursing practice	Int_J_Nurs_Pract.
24698649	lee choi kim beckstrand	factor structure investigation of perceived facilitators and barriers in endoflife care among korean nurses	the aim of this study be to assess the validity and reliability of the korean version of a questionnaire assess facilitatorsbarriers in endoflife care that be originally develop for nurse in the usa backtranslation be undertake to produce the korean version a principal component analysis with varimax rotation and cronbach s alpha be use to test factorial validity and reliability respectively the analysis examine datum from 383 nurse in a tertiary hospital in korea for endoflife care facilitator five factor account for 59 of the total variance the factor be label family preparedness support for nurse nursepatient relationship transition after death and decisionmaking six factor explain 59 of the variance be extract for endoflife care barrier these factor be misunderstand patient s will preoccupy nursing workload lack of institutional support deal with family s maladaptive coping visit hour and communication about patient s status with family member cronbach s alpha be 089 for the 23 facilitator item and 090 for the 24 barrier item overall the finding demonstrate that the questionnaire have measurement property in a sample of korean nurse further study be need with different population to reflect endoflife care in various clinical setting	Jpn_J_Nurs_Sci.
25030788	lee yoo kim jeong chang jung	development and validation of a scale for the end of life caregiving appraisal	endoflife caregiving experience can be complex family member experience physical and mental suffering as they anticipate they impending loss healthcare provider should be able to provide good quality of endoflife lrb eol rrb care and support for primary eol caregiver study have highlight the role of healthcare provider provide information in the eol situation to caregiver of chronic disease patient this have result in the development of the endoflife caregiving experience appraisal scale lrb eolcas rrb present in this paper the purpose of this study be to develop a scale that can evaluate the experience of eol caregiver and to test the reliability and validity of this scale the scale domain be derive from systematic review of 35 relevant study we then examine its content validity with nurse scholar and clinician use content validity index to examine construct validity a total of 175 caregiver from tertiary hospital setting in korea participate in this study from december 2007 to may 2008 for the construct validity factor analysis be utilize the scale be compose of 32 item with four subscale two negative appraisal lrb physical suffering and burden rrb one positive appraisal lrb maturation rrb and one neutral appraisal lrb social support pursuit rrb in this sample the cronbach s alpha for the entire scale be 84 indicate adequate reliability however cronbach s alpha of subscale be vary nurse and other healthcare professional could use the eolcas to assess the experience of eol caregiver to understand they experience in the eol and enhance they quality of life although psychometric of eolcas show limited finding	Asian_Nurs_Res_(Korean_Soc_Nurs_Sci).
10675679	lee kellaway	in vitro peptide release from liquid crystalline buccal delivery systems	swelling and lsb dala lrb 2 rrb dleu lrb 5 rrb rsb enkephalin lrb dadle rrb release from the lamellar and cubic liquid crystalline phase of glyceryl monooleate lrb gmo rrb be study use two in vitro method a total immersion method and a franz cell method the swell of the lamellar phase and glyceryl monooleate lrb 0 ww water content rrb and dadle release from the liquid crystalline phase be temperature dependent the swell ratio be greater at 20 degree c than 37 degree c while dadle release increase at 37 degree c compare to 20 degree c for both the lamellar and cubic phase the water uptake increase dramatically with decrease initial water content of the liquid crystalline phase however dadle release increase with increase initial water content which correspond to increase viscosity the swell and dadle release profile obtain use a franz cell method with a moist nylon membrane to mimic buccal drug release condition be slower than the total immersion method these result show that the swell and dadle release strongly depend on temperature the initial water content of the liquid crystalline matrix and the methodology employ for determine the swell and dadle release	Int_J_Pharm.
10675680	lee kellaway	buccal permeation of dala2 dleu5enkephalin from liquid crystalline phases of glyceryl monooleate	the ex vivo buccal permeability of a lsb dala lrb 2 rrb dleu lrb 5 rrb rsb enkephalin lrb dadle rrb and glyceryl monooleate lrb gmo rrb be examine from the cubic and lamellar liquid crystalline phase of gmo and aqueous phosphatebuffered saline lrb ph 74 pbs rrb solution across excise porcine buccal mucosa mount in a franz cell gmo be release in vitro from the liquid crystalline phase indicate the erosion of the liquid crystal matrix gmo release from the liquid crystalline matrix permeate the porcine buccal mucosa with flux of 010 003 and 007 000 cm lrb 2 rrb per h for the cubic and lamellar phase respectively the flux of dadle lrb 121 032 and 1 15 011 cm lrb 2 rrb per h for the cubic and lamellar phase respectively rrb from the liquid crystalline phase be significantly enhance by the gmo compare with pbs solution lrb 043 008 cm lrb 2 rrb per h rrb during the initial permeation phase lrb t 3 h rrb we result suggest that the cubic and lamellar liquid crystalline phase can be consider as promising buccal drug carrier for peptide drug as well as act as permeation enhancer	Int_J_Pharm.
11011997	lee kellaway	combined effect of oleic acid and polyethylene glycol 200 on buccal permeation of dala2 dleu5enkephalin from a cubic phase of glyceryl monooleate	the combine use of the lipophilic permeation enhancer oleic acid together with polyethylene glycol 200 lrb peg 200 rrb as a coenhancer and incorporate into the cubic liquid crystalline phase of glyceryl monooleate be investigate in the ex vivo buccal permeation of lsb dala2 dleu5 rsb enkephalin lrb dadle rrb through porcine buccal mucosa mount in a franz cell the addition of oleic acid lrb 1 rrb and peg 200 lrb 110 rrb do not change the intact appearance of the cubic phase peg 200 increase the aqueous solubility of oleic acid incorporate into the cubic phase and hence promote the transport of oleic acid into the porcine buccal mucosa the solubilising effect of peg 200 on oleic acid incorporate into the cubic phase be dependent on the peg 200 concentration but be nonlinear the buccal permeation flux of dadle significantly increase when 5 lrb p 001 rrb or 10 lrb p 0001 rrb of peg 200 be coadminister with 1 oleic acid compare with the cubic phase contain 1 oleic acid alone the present result suggest that peg 200 enhance the action of the lipophilic permeation enhancer oleic acid and that the combination of oleic acid and peg 200 as a coenhancer can be a useful tool to improve the membrane permeability in the buccal delivery of peptide drug use a cubic liquid crystalline phase of glyceryl monooleate and water	Int_J_Pharm.
11370702	lee young kellaway	water quantitatively induces the mucoadhesion of liquid crystalline phases of glyceryl monooleate	the possible role of water in the mucoadhesion phenomenon exhibit by the liquid crystalline phase of glyceryl monooleate be investigate use a invitro tensile strength technique the mucoadhesion of the liquid crystalline phase of glyceryl monooleate be find to occur follow uptake of water the mucoadhesive force of the cubic phase be consistent since it be not capable of take up additional water a increase in preload period greatly facilitate the mucoadhesion of glyceryl monooleate lrb 0 ww initial water content rrb suggest that the mucoadhesion be dependent upon the extent of the dehydration of the substrate a good linear relationship between initial water content of the liquid crystalline phase and mucoadhesive force lead to the conclusion that the mucoadhesive force increase with decrease initial water concentration rheological property of the liquid crystalline phase be also study to allow a correlation between physical change and mucoadhesion of the liquid crystalline phase reveal that higher water concentration in the liquid crystalline phase lead to a more order structure that show less mucoadhesion the result of this study indicate that the mucoadhesive force of the liquid crystalline phase of glyceryl monooleate be determine by the capability to take up water from a waterrich environment it may therefore be advantageous to use the lamellar phase as a buccal drug carrier as oppose to the relatively less mucoadhesive cubic phase	J_Pharm_Pharmacol.
12214870	lee lee choi	the effect of storage conditions on the permeability of porcine buccal mucosa	the impact of storage condition on the permeability of porcine buccal mucosa to lsb 3h rsb water and lsb 14c rsb mannitol be assess the fresh porcine buccal tissue lrb fresh tissue rrb be obtain by utilize pig head within 24 hour of slaughter the store and freeze porcine buccal tissue lrb store tissue and frozen tissue rrb be obtain after the storage of the tissue intact in the pig head at 4 degree c or 20 degree c respectively for 24 h the result demonstrate that the barrier property of the porcine buccal mucosa be maintain with regard to lsb 3h rsb water permeability when store at 4 degree c for 24 h however freezing the tissue result in tissue damage illustrate by a significant increase in lsb 3h rsb water permeability lsb 14c rsb mannitol do not appear to be a suitable model solute to assess the ex vivo permeability of porcine buccal mucosa due to its extremely low permeability	Arch_Pharm_Res.
12455474	lee kellaway	peptide washout and permeability from glyceryl monooleate buccal delivery systems	simultaneous evaluation of the permeation and washout of a peptide from the mucoadhesive liquid crystalline phase of glyceryl monooleate lrb gmo rrb have be investigate use a donor compartment flowthrough diffusion cell lsb dala2 dleu5 rsb enkephalin lrb dadle rrb be incorporate into the cubic and lamellar liquid crystalline phase of gmo and apply to excise porcine buccal mucosa mount in the donor compartment flowthrough cell phosphatebuffered saline ph 74 lrb pbs rrb be pump across the upper surface of the liquid crystalline phase to mimic salivary flow the steadystate flux of dadle and gmo from the cubic phase be significantly greater than that from the lamellar phase lrb p 001 rrb there be no statistical difference between the amount of dadle and gmo wash out from the lamellar and cubic phase lrb p 005 rrb the donor compartment flowthrough diffusion cell be find to be a useful tool to evaluate the impact of salivary washout on mucoadhesive oral mucosal delivery system	Drug_Dev_Ind_Pharm.
12561235	lee	formulation development of epidermal growth factor	the information in this paper be present to summarise various investigation in recent year to develop epidermal growth factor lrb egf rrb delivery system egf be a promising and wellcharacterised polypeptide that can be use in the treatment of various type of wound and ulcer many approach have be employ to deliver egf as a stimulant for cellular activity involve in the process of wound healing and tissue repair recently emphasis be place on the development of sustained or controlled delivery technology to optimise egf delivery	Pharmazie.
12785740	lee choi	enhanced ex vivo buccal transport of propranolol evaluation of phospholipids as permeation enhancers	the aim of the present study be to evaluate the effect of two phospholipid permeation enhancer lysophosphatidylcholine lrb lpc rrb and didecanoylphosphatidylcholine lrb ddpc rrb along with a fusidic acid derivative sodium taurodihydrofusidate lrb stdhf rrb and ethanol lrb etoh rrb on the buccal transport of propranolol hydrochloride lrb ppl rrb use a ex vivo buccal diffusion model the permeation rate of lsb 3h rsb ppl as measure by steadystate flux increase with increase etoh concentration a significant flux enhancement lrb p 005 rrb be achieve by etoh at 20 and 30 vv concentration at a 05 wv permeation enhancer concentration the buccal permeation of lsb 3h rsb ppl be significantly enhance by all the enhancer study lrb ie lpc ddpc and stdhf rrb compare to the control lrb phosphatebuffered saline ph 74 pbs rrb lpc and ddpc display a greater degree of permeation enhancement compare with stdhf and etohpbs mixture with a enhancement ratio of 32 and 29 for lpc and ddpc respectively compare with 20 and 15 for stdhf and etoh pbs 3070 vv mixture respectively there be no significant difference between lpc and ddpc for the flux value and apparent permeability coefficient of lsb 3h rsb ppl these result suggest that phospholipid be suitable as permeation enhancer for the buccal delivery of drug	Arch_Pharm_Res.
12880288	lee lee acharya chang park	hydrotropic solubilization of paclitaxel analysis of chemical structures for hydrotropic property	to identify hydrotropic agent that can increase aqueous paclitaxel lrb ptx rrb solubility and to study the chemical structure necessary for hydrotropic property so that polymeric hydrotropic agent can be synthesize more than 60 candidate hydrotropic agent lrb or hydrotrope rrb be test for they ability to increase the aqueous ptx solubility a number of nicotinamide analogue be synthesize base on the observation that nicotinamide show a favorable hydrotropic property the identify hydrotrope for ptx be use to examine the structureactivity relationship nndiethylnicotinamide lrb nndena rrb be find to be the most effective hydrotropic agent for ptx the aqueous ptx solubility be 39 mgml and 512 mgml at nndena concentration of 35 m and 595 m respectively these value be 56 order of magnitude greater than the intrinsic solubility of 030 002 microgml npicolylnicotinamide nallylnicotinamide and sodium salicylate be also excellent hydrotrope for ptx solubility datum show that a effective hydrotropic agent should be highly water soluble while maintain a hydrophobic segment the present study identify several hydrotropic agent effective for increase aqueous solubility of ptx and analyze the structural requirement for this hydrotropic property this information can be use to find other hydrotropic compound and to synthesize polymeric hydrotrope that be effective for ptx and other poorly watersoluble drug	Pharm_Res.
14609139	lee choi yoon choi	kinetic characterization of swelling of liquid crystalline phases of glyceryl monooleate	research in this paper focus on the kinetic evaluation of swell of the liquid crystalline phase of glyceryl monooleate lrb gmo rrb swelling of the lamellar and cubic liquid crystalline phase of gmo be study use two in vitro method a total immersion method and a franz cell method the swell of the lamellar phase and gmo have 0 ww initial water content be temperature dependent the swell ratio be greater at 20 degree c than 37 degree c the water uptake increase dramatically with decrease initial water content of the liquid crystalline phase the swell rate obtain use the franz cell method with a moist nylon membrane to mimic buccal drug delivery situation be slower than the total immersion method the swell be study by employ firstorder and secondorder swell kinetics the swell of the liquid crystalline phase of gmo could be describe by secondorder swell kinetics the initial stage of the swell lrb t 4 h rrb follow the square root of time relationship indicate that this model be also suitable for describe the water uptake by the liquid crystalline matrix these result obtain from the current study demonstrate that the swell strongly depend on temperature the initial water content of the liquid crystalline phase and the methodology employ for measure the swell of gmo	Arch_Pharm_Res.
16218738	lee govorov kotov	bioconjugated superstructures of cdte nanowires and nanoparticles multistep cascade frster resonance energy transfer and energy channeling	nanoparticlenanowire assembly with a degree of radial organization be prepare around luminescent semiconduct cdte nanowire use bioconjugation with streptavidin and dbiotin linker redemitting nanowire lrb 662 155 nm diameter 512 119 nm length rrb and greenemitting nanoparticle lrb 32 07 nm diameter rrb be surfacemodified with biotin while orangeemitting nanoparticle lrb 41 12 nm diameter rrb be decorate with streptavidin cdte nanocrystal produce two fuzzy layer around the nanowire in which the diameter of cdte nanoparticle decrease with the distance from the nanowire axis frster resonance energy transfer lrb fret rrb from the outside layer of nanoparticle to the central nanowire be observe for nanowire conjugate with 41 nm cdte addition of 32 nm cdte result in a redorangegreen optical progression with band gap of cdte decrease toward the axis of the superstructure in this case 4fold luminescence enhancement of the nanowire luminescence be observe and be attribute to multistep fret this observation indicate the accumulation of photogenerated exciton in the cascade terminal a simple model of multiconjugated superstructure with cascade energy transfer be develop and use to describe and understand the experimental datum the experimental datum and theoretical model suggest the possibility of utilization of the prepared superstructure with radial symmetry in several class of optoelectronic device include nanomaterial for energy collection they can also be a convenient model object for the investigation of method of energy funnel in nanoscale assembly	Nano_Lett.
16231378	lee govorov kotov	nanoparticle assemblies with molecular springs a nanoscale thermometer	Angew_Chem_Int_Ed_Engl.
16802399	lee javed skeini govorov bryant kotov	bioconjugated ag nanoparticles and cdte nanowires metamaterials with fieldenhanced light absorption	Angew_Chem_Int_Ed_Engl.
17384635	lee hernandez lee govorov kotov	excitonplasmon interactions in molecular spring assemblies of nanowires and wavelengthbased protein detection	electronic interaction at the nanoscale represent one of the fundamental problem of nanotechnology exciton and plasmon be the two most typical excited state of nanostructure which have be show to produce coupled electronic system here we explore these interaction for the case of nanowire with mobile exciton and nanoparticle with localized plasmon and describe the theoretical formalism its experimental validation and the potential practical application of such nanoscale system theory predict that emission of couple excitation in nanowire with variable electronic confinement be stronger shorter and blueshifted these prediction be confirm with a high degree of accuracy in molecular spring assembly of cdte nanowire and au nanoparticle where we can reversibly change the distance between the exciton and the plasmon the prepared system be make proteinsensitive by incorporate antibody in the molecular spring modulation of excitonplasmon interaction can serve as a wavelengthbased biodetection tool which can resolve difficulty in the quantification of luminescence intensity for complex media and optical pathway	Nat_Mater.
19538335	lee sieweke rodriguez schüpbach lindström susin wikesjö	evaluation of nanotechnologymodified zirconia oral implants a study in rabbits	the objective of this study be to screen candidate nanotechnologymodified microstructured zirconia implant surface relative to local bone formation and osseointegration proprietary nanotechnology surfacemodified lrb calcium phosphate cap rrb microstructured zirconia implant lrb a and c rrb control microstructured zirconia implant lrb ziunite rrb and titanium porous oxide implant lrb tiunite rrb be implant into the femoral condyle in 40 adult male new zealand white rabbit each animal receive one implant in each hind leg thus 20 animal receive a and c implant and 20 animal receive ziunite and tiunite implant in contralateral hind leg ten animalsgroup be euthanize at week 3 and 6 when biopsy of the implant site be process for histometric analysis use digital photomicrograph produce use backscatter scanning electron microscopy the tiunite surface demonstrate significantly greater boneimplant contact lrb bic rrb lrb 776 26 rrb compare with the a lrb 646 36 rrb and c lrb 622 31 rrb surface at 3 week lrb p 005 rrb numerical difference between ziunite lrb 705 31 rrb and a and c surface do not reach statistical significance lrb p 005 rrb similarly there be nonsignificant difference between the tiunite and the ziunite surface lrb p 005 rrb at 6 week there be no significant difference in bic between the tiunite lrb 671 42 rrb ziunite lrb 697 57 rrb a lrb 686 19 rrb and c lrb 645 41 rrb surface lrb p 005 rrb tiunite and ziunite implant surface exhibit high level of osseointegration that in this model confirm they advanced osteoconductive property addition of cap nanotechnology to the ziunite surface do not enhance the already advance osteoconductivity display by the tiunite and ziunite implant surface	J_Clin_Periodontol.
19929958	lee tran seeba wikesjö susin	the criticalsize supraalveolar periimplant defect model reproducibility in histometric data acquisition of alveolar bone formation and osseointegration	the objective of this report be to present the reproducibility of outcome assessment in the criticalsize supraalveolar periimplant defect model two examiner without specific experience in histological analysis and one experienced examiner perform the histometric evaluation a comprehensive training program in datum acquisition and histological analysis be establish the inexperienced examiner undergo approximately 12 h of training over multiple session a customdesigned image analysis software macro and a computerbased image system be use to analyse digital image generate by a microscope camera system nine parameter for newly form and resident bone be evaluate examiner perform histometric analysis use 36 histologic section select from criticalsize supraalveolar periimplant defect in 12 male hound labrador mongrel dog buccal and lingual measurement be perform in 72 site intra and interexaminer reproducibility be evaluate use the concordance correlation coefficient lrb ccc rrb and mean sd of the difference systematic error be evaluate use a ftest for equality of means and variance intraexaminer reproducibility be high for all parameter evaluate the lowest ccc observe be 087 interexaminer reproducibility be also high most ccc exceed 090 minor systematic error for intra and interexaminer comparison be occasionally observe the result imply a high temporal stability because recording be perform 3 month apart measurement error be stable throughout the range of observation for all parameter high examiner reproducibility and temporal stability can be achieve for histometric datum acquisition use the criticalsize supraalveolar periimplant defect model examiner reproducibility should be routinely assess report and account for to assure the quality of evidence generate by preclinical study	J_Clin_Periodontol.
20103474	lee stavropoulos susin wikesjö	periodontal regeneration focus on growth and differentiation factors	several growth and differentiation factor have show potential as therapeutic agent to support periodontal wound healingregeneration although optimal dosage release kinetics and suitable delivery system be still unknown experimental variable include delivery system dose and the common use of poorly characterize preclinical model make it difficult to discern the genuine efficacy of each of these factor only a few growth and differentiation factor have reach clinical evaluation it appear that welldefined discriminate preclinical model follow by welldesigned clinical trial be need to further investigate the true potential of these and other candidate factor thus current research be focus on find relevant growth and differentiation factor optimal dosage and the best approach for delivery to develop clinically meaningful therapy in patientcentered setting	Dent_Clin_North_Am.
