win.v.1	it be fun just to win one would not it that would be great alrighty well	i i think that be all that we need to say
win.v.74	even as the team decline other story profile a superagent win mammoth contract for he baseball player client a rookie quarterback	several time magazine story explore fan loyalty in one baltimore oriole fan sound off to the o be owner demand cheaper ticket and more dedicated player lrb the owner be noncommittal rrb in another a new york knick fan complain that she courtside seat have shoot up in price learn how to play the endorsement game and nba commissioner david stern who micromanage the league be image coordinate everything from media coverage to promotional sock giveaway dot commie plot usa today the new york time and lo angele time lead with the continuance of the deadlock middle east talk in queenstown maryland
win.v.75	a estimate 4 million mcgreevey who come from behind to win the primary by a slim 2 percent paint he opponent	this offyear contest between fourterm rep rob andrew and twoterm state sen jim mcgreevey generate little attention the incumbent republican gov christine todd whitman be likely to trounce she democratic competition in november and only 350000 voter turn out at last week s poll despite the low level of interest both candidate take to the airwave in the last few week of campaigning blitz the costly manhattan and philadelphia media market with negative ad the cost of the air war as a newt gingrich democrat who have vote to cut medicare and the schoollunch program and deprive child of vaccine and if the andrew spot be to be believe mcgreevey be a antienvironmentalist who have delay close a pipeline that pump treated chemical waste into the atlantic for year the cibageigy pipeline dump cancercausing toxin off the jersey shore say shore revise produce by david axelrod and associate for the andrew campaign
win.v.76	martina hingi and pete sampra win the woman s and man s tennis championship at wimbledon	sport writer lionize hingis as a wunderkind lrb she be 16 the youngest wimbledon champ in a century rrb and sampra as arguably the greatest player ever lrb he be on track to shatter the record for man s grand slam title rrb
win.v.77	ever be past they prime but still know how to win also the technology columnist dismiss internet push in which content	and a piece say that despite the establishment of the 5 billion gold fund the swiss be not at all sorry for they atrocious behavior during world war ii new york time magazine march 23 lrb post thursday march 20 rrb the cover story compare nelson mandela to george washington mandela suppress he emotion in favor of the common good and this serene rationalism have allow south africa to escape violence and recrimination elder on ice observe the twilight career of new york ranger wayne gretzky and mark messier the greatest player ever and the mostdriven player be deliver to user rather than fetch by they as a silly doomed trend lrb for slate s take see push i pull you rrb
win.v.78	be plan to publish a column about how mccain be win admiration in washington for he maverick stance on campaignfinance reform	it be a bit difficult to hear he through he balaclava but i be pretty sure broder s point be that bradley and mccain be peak too early he want to know what we should do to ensure the longest possible primary season gerald seib of the wall street journal make the first suggestion why not just continue to sprinkle mccain and bradley with adoring coverage gerry say he he add that every time he run this column he get a nice note from fred wertheimer sam and cokie could barely control they snigger
win.v.79	prosecutor s chronicle of he sevenyear investigation want still to win the case he rehash arcane and forget episode from the	to the dismay of still other clark neither confirm nor deny the rumor that she and fellow prosecutor christopher darden sleep together firewall the irancontra conspiracy and coverup by lawrence e walsh lrb ww norton rrb too much minutiae not enough revelation be the consensus criticism of the irancontra special reaganera scandal seemingly for he own benefit the leaden account feel like it go on for seven year lrb jacob weisberg slate rrb only the nation be doug ireland find merit in walsh s brief against the reagan administration call the attorney a genuine american hero
win.v.80	lively eclecticism anticipate jame stirling furness a exceptional individual who win a congressional medal of honor during the civil war dominate	yet rudolph a gifted designer may be admit to the architectural pantheon one day architectural reputation can rise and fall and rise again the nineteenthcentury philadelphia architect frank furness design ruskinian gothic building whose the philadelphia architectural scene for 20 year in 1891 he complete the university of pennsylvania library a widely acclaimed brick and terracotta building with a dramatic fourstoryhigh reading room after the turnofthecentury with classicism all the rage furness idiosyncratic brand of architecture become unfashionable
win.v.81	the world safe for democracy the generation that fight and win world war ii be still with we infuse in both	in the 1890s the pledge of allegiance we secular prayer to the flag spontaneously spread across the country and become a standard part of the socialization process for all american child there be little national hesitation about we war of national aggrandizement against militarily weak opponent in cuba and panama and the country join enthusiastically in send we doughboy overseas in president wilson be word to make black and whites a strong sense of a national mission well execute the war in vietnam be undoubtedly a setback for the spirit of patriotism a whole generation my friend and student become skeptical about the use of military power
win.v.83	begin in 1952 when team need eight playoff victory to win the stanley cup a octopus have eight arm lrb and	native american group hate the chop but former president jimmy carter defend it in 1991 with the brave on top we have a brave courageous and successful team and i think we can look on the american indian as brave successful and attractive so i do not look on it as a insult though less controversial the most bizarre gesture of all remain the octopus toss in celebratory moment fan of the detroit red wing throw real octopus onto the ice the tradition smell awful rrb at time more than 50 octopus rain down at once
win.v.85	monastery and confiscate they land he simultaneously foster christianity to win adept away from the buddhist faith nobunaga be assassinate by	the triumphant trio be the first to develop the appropriate defen against the new firepower they replace the old small castle on high ground protect only by wooden stockade with large central fortress out of range behind broad moat surround by solid stone rampart and earthwork strong enough to resist cannon fire cleverest of the three nobunaga use another western weapon christianity against the principal remain threat to he authority the stronghold surround kyoto while send out army to destroy the buddhist one of he own general in 1582 and hideyoshus who have start out as a simple infantryman succeed he see in christianity a threat to he central authority hideyoshus systematically suppress christian activity in 1597 six missionary and 20 japanese convert be crucify at nagasakus
win.v.86	parrot peacock in full display and cute lemurs will always win heart crystal cave child will be awestruck by both the	it be almost small enough to be a play ship aquarium and zoo the fish be fascinating lrb look for the huge moray eel which be not for the squeamish rrb but the zoo exhibit be also fun talk size and the beauty of this underground cavern
win.v.87	the operating system competition between the two company which microsoft win long ago but be about microsoft s need to secure	usat provide the most concise explanation the company will share all patent rights microsoft guarantee it will develop software for apple s macintosh computer apple will make microsoft s internet explorer the main web browser on the mac both the nyt and lat make the point that the deal be not about its business as the largest seller of program for macintosh computer lrb the nyt observe rrb and to bolster its position in internet product lrb the lat and wall street journal observe rrb all the major report that the announcement be meet by boo and catcall from the audience of machead as be the dealsealing appearance by gate in a story that be no doubt pressrelease to death somehow only the wp manage to mention that the deal leave microsoft with a 7 percent stake in apple
win.v.88	to go low to do what ever it take to win be a stepbystep and relatively open process involve large number	lrb this be a followup to a ferocious inside story the paper run yesterday in which senate majority leader trent lott get a full year of pentup disgust at clinton off he chest rrb the most telling point of analysis in the piece come from a republican adviser who say that since clinton will not be able to get anything do anyway he might as well concentrate on elect gore and a democratic house of representative next year the wp front a look at how certain salt lake cityan go nut to get they burg a olympics the conclusion the decision of people a major report on the lat front page detail how tobacco company strongarm smokingcessationaid manufacturer to keep they out of the smoking war the nyt have a classic obit to show off today about the best polo player ever cecil smith the piece by frank litsky effortlessly take the reader back to the day when the sport be play by the likes of walt disney and will roger and ten of thousand watch game
win.v.89	from he mouth abbott naturally become a cult hero and win a guest spot on friend lrb matua walk out of	ufc fight could be horrifying tank abbott a illtempered 270pound street fighter knock out hapless opponent john matua in 15 seconds then before the ref can intervene abbott belt the unconscious matua in the head send he into a fit limb quiver uncontrollably blood spurt the ring rrb soon ufc be sell out huge arena and draw 300000 payperview subscriber for its quarterly competition
win.v.91	congress the naive spin republican lose the sophisticated spin republican win by appease christian conservative who will reward they at the	supporter argue that congress should protect religious student from antireligious school administrator opponent argue that religiousminority student and school administrator should be protect from poll in november lrb 6598 rrb the supreme court reject independent counsel ken starr be request to resolve whether clinton aide bruce lindsey and secret service employee must answer question in the monica lewinsky investigation instead these question will proceed to the we court of appeal
win.v.92	of the dissent faction anyway pundit agree that the gop win the battle and lose the war gingrich be ethic case	newt gingrich be reelect house speaker by a vote of 216205 after day of armtwist by gop leader only nine republican choose not to support gingrich the media play up the size will drag on through congressional hear the gop will then force the house ethic committee to close the case enable democrat to cry coverup for month afterward member will have to vote again on he punishment he will be distract tarnish and weaken have lose prestige and twisted arm just to get reelect he will have no clout leave to keep he troops in line the republican policy agenda will languish gingrich will be force to make concession to clinton in order to pass legislation and repair he own image and above all democrat will sing from gingrich s rap sheet throughout the come hearing on clinton s ethical trouble white house aide reportedly be delight by the outcome commentator chuckle that the gop be replay its 96 dole catastrophe clinging fast to a sink ship
win.v.93	but the senate itself archaic rule let one passionate senator win out over reason argument also a article say china s	the share of government spending in the gross domestic product of industrial country have rise steadily throughout the century up to the current 46 percent exception hong kong and singapore which get rich with small bureaucracy a story on bill weld s block nomination blame not jesse helm lrb now in he fifth rumbustious term rrb new military cut be in troop size not spend china like most of east asia seek hightech weaponry
win.v.94	claim that he be the guy who talk reagan into win the cold war i be the one who convince reagan	frankly if you look at it we have have a unprecedented economic expansion over the last number of year it be be primarily because reagan get marginal tax rate from 70 percent to 28 percent by 1986 he say i be one of a handful who convince he that should be do more extraordinary be hatch s we should give the stinger missile to the mujahadeen hatch say now call one of four reason why the cold war come down i would give hatch the admiral stockdale prize in the debate the prize for have no idea why you be there
win.v.95	the exec be overwhelmingly man rrb score huge court victory win money property and sometimes a large stake in they husband	a bizarre six page photo essay title put you ad here display kid wear clothing with corporate logo lrb tide apple microsoft rrb oddly the first six page of the magazine be also photo of kid wear logo clothing lrb tommy hilfiger calvin klein dkny rrb except this time the page be pay advertisement business week aug 3 lrb post thursday july 30 1998 rrb the cover story detail how costly divorce can be for rich executive jilt wife lrb company tip for exec 1 rrb settle out of court 2 rrb make she sign a prenuptial agreement 3 rrb make she sign a postnuptial agreement 4 rrb funnel you riches to offlimit offshore account lrb belize and gibraltar be best because they do not recognize american divorce judgment rrb
win.v.96	no what where they at this year uh they win in they division	division
win.v.97	without he consent robert and clara file a lawsuit and win but out of spite go ahead and marry the day	71 this country like rome under the lesser caesar may send out soldier for 400 year or so but it will decline into a thirdrate power in its decline it will look like the england of the 20st century hold on to coalition of the willing fight border war continually strike out with money and technology at competitor and friend bewilder that other do not like we and disappoint at we seem failure to keep hope alive we overween pride inflate by the dollar everyone in the world clamor for have make we vision too dim to notice that we also like imperial roman or brit be no longer the vital ingenious frontierspeople we like to imagine ourselves 72 liebst du um schnheit clara weick schumann lrb 18911896 rrb setting of if you love for beauty by friedrich rckert lrb 17881866 rrb 73 robert schumann come to live and study with clara wieck be father in 1830 and ask permission to marry clara in 1837 wieck object and do all he could to prevent the wedding before clara s 21st birthday when she would be legally able before she birthday september 12 1840 they first live in leipzig where they both teach in the conservatory there they move to dresden in 1844 to dsseldorf in 1850 they child be marie lrb 18411929 rrb elise lrb 18431928 rrb julie lrb 184572 rrb emil lrb 184647 rrb ludwig lrb 184899 rrb ferdinand lrb 184991 rrb eugenie lrb 18511938 rrb felix lrb 185479 rrb
win.v.98	close but in the end the advocate of state power win in the supreme court the battle they could not win	the dispute reach the supreme court within seven year of appomattox the passage of the reconstruction amendment be still fresh in the mind of everyone the age overflow with vision but not in the supreme court the argument be on the killing field five justice vote to uphold the 1869 act grant a monopoly to the crescent city company all three of the articulate dissent empathize with the independent butcher economic freedom to carry on they trade without pay toll to those favor by the louisiana legislature
win.v.99	one of many church build during the christianization of territory win from the moor by jame i in legendary 13thcentury battle	there be 18thcentury royal portrait in the saln azul lrb blue room rrb and archive that preserve the document of privilege grant to the city by alfonso x the wise in the 13th century a short distance uphill bring you to the baroque west front of the iglesia de santa mara lrb between the calle mayor and the calle jorge juan rrb the church date from the 14th century this be it stand on the site where a mosque originally stand work by braque chagall giacomettus picasso and many other 20thcentury artist hang next door in the museo de arte del siglo xx lrb museum of 20thcentury art rrb beyond you will find the tiny barrio de santa cruz
win.v.100	helm have mature into a diplomat thurmond and helm each win reelection in 1996 but this be likely to be the	they need a new story about he so voil jesse last term for both thurmond announce a few week ago that he will not run again helm who will be 81 when he fifth term end be increasingly frail
